index,relativePath,extension,size,width,height,aspectRatio,format,section,usedByCount
1,"company/factory-building-exterior.webp",.webp,97592,1080,684,1.58:1,webp,"Company/About",2
2,"company/factory-entrance-signage.webp",.webp,16258,360,360,1.00:1,webp,"Company/About",1
3,"company/leadership/ceo-sudarshan-khot.webp",.webp,171018,900,1350,0.67:1,webp,"Leadership",1
4,"company/leadership/md-suhas-khot.webp",.webp,142158,900,1350,0.67:1,webp,"Leadership",1
5,"company/pako-engineers-building-signage.webp",.webp,10506,250,250,1.00:1,webp,"Company/About",1
6,"hero/homepage-hero.webp",.webp,230360,1537,1023,1.50:1,webp,"Hero",2
7,"logos/pako-engineers-logo.png",.png,1133890,1536,1024,1.50:1,png,"Logo/branding",1
8,"machines/cnc-lathe-operator.webp",.webp,66022,1200,799,1.50:1,webp,"Machinery",2
9,"machines/cylindrical-grinding-machine.webp",.webp,180350,1600,1067,1.50:1,webp,"Machinery",1
10,"machines/edm-machine.webp",.webp,115226,1400,932,1.50:1,webp,"Machinery",2
11,"machines/grinding-machine-operator.webp",.webp,135366,1200,799,1.50:1,webp,"Machinery",1
12,"machines/heavy-duty-engine-lathe.webp",.webp,251014,1537,1023,1.50:1,webp,"Machinery",2
13,"machines/heavy-duty-lathe-bed.webp",.webp,70316,1600,1067,1.50:1,webp,"Machinery",1
14,"machines/large-boring-machine.webp",.webp,180738,1200,799,1.50:1,webp,"Machinery",1
15,"machines/lathe-setup-inspection.webp",.webp,113290,1400,932,1.50:1,webp,"Machinery",3
16,"machines/long-bed-turning-lathe.webp",.webp,132104,1537,1023,1.50:1,webp,"Machinery",2
17,"machines/long-shaft-machining-lathe.webp",.webp,253952,1537,1023,1.50:1,webp,"Machinery",3
18,"machines/machine-operator-lathe.webp",.webp,109514,1400,933,1.50:1,webp,"Machinery",2
19,"machines/shaft-machining-lathe.webp",.webp,244770,1537,1023,1.50:1,webp,"Machinery",1
20,"machines/surface-grinding-machine.webp",.webp,135596,1600,1067,1.50:1,webp,"Machinery",1
21,"machines/vmc-machine-operator.webp",.webp,91574,1200,799,1.50:1,webp,"Machinery",1
22,"manufacturing/factory-floor-overview.webp",.webp,244210,1537,1023,1.50:1,webp,"Manufacturing",1
23,"manufacturing/raw-material-staging.webp",.webp,224298,1537,1023,1.50:1,webp,"Manufacturing",2
24,"products/gear-components.webp",.webp,162912,756,1008,0.75:1,webp,"Products",1
25,"products/machined-circular-flange.webp",.webp,202430,1200,900,1.33:1,webp,"Products",1
26,"products/machined-flange-component.webp",.webp,198986,1200,900,1.33:1,webp,"Products",1
27,"products/machined-sleeve-components.webp",.webp,224358,1200,900,1.33:1,webp,"Products",1
28,"products/precision-pump-shafts-lineup.webp",.webp,163932,1200,1800,0.67:1,webp,"Products",1
29,"products/pump-shaft-components.webp",.webp,197918,1023,1537,0.67:1,webp,"Products",3
30,"products/retainer-bearing-component.webp",.webp,109040,864,1152,0.75:1,webp,"Products",1
31,"projects/large-pump-rotor-assembly.webp",.webp,345900,1400,1050,1.33:1,webp,"Projects",2
32,"projects/vertical-pump-assembly.webp",.webp,54720,676,450,1.50:1,webp,"Projects",2
